INFO 2024-12-27 18:10:36,992 autoreload 5772 220 Watching for file changes with StatReloader
DEBUG 2024-12-27 18:10:51,533 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,574 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,578 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,613 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,616 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,648 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,653 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,687 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,713 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,751 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,757 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,791 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,799 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,829 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,841 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,874 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,880 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,913 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,925 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:51,955 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:51,959 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,087 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,091 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,132 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,137 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,168 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,182 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,215 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,472 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,501 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,547 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,590 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,596 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,629 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,690 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,719 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,722 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,753 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:52,756 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:52,791 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:53,859 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:53,893 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:53,897 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:53,929 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:53,932 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:53,964 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:53,973 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,008 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,042 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,075 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,098 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,131 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,140 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,173 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,181 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,227 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,290 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,321 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,329 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,362 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,378 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,426 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,432 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,466 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,489 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,520 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,560 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,590 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,855 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:54,886 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:54,990 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:55,025 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:55,034 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:55,066 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:55,078 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:55,108 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:55,128 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:55,220 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:10:55,230 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:10:55,276 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,312 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,344 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,349 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,385 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,392 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,427 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,515 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,564 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,654 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,740 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,747 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,885 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,893 middleware 5772 1856 URL actuelle : main:home
INFO 2024-12-27 18:11:00,924 basehttp 5772 1856 "GET / HTTP/1.1" 302 0
DEBUG 2024-12-27 18:11:00,941 middleware 5772 1856 URL actuelle : main:home
